role	path	bytes	sha256
input	input/cicada_p54_minimal_public_verifier.py	18383	b7100a76b58ed859453d8aaae2aa884cabbd880fe30b1952e4d40c6a9c94320a
input	input/liber-primus__transcription--master.txt	54478	e21743ccd9a07f3845d52a329c61b9fa69e9ca6a44ee3ba0db8f28a0d7065004
output	out/cicada_p54_minimal_public_verifier_claim_card.md	481	1c33ab4a775b965ad68bda1f88b50b93d920815cc5587b133506c7e5dd21f8a4
output	out/cicada_p54_minimal_public_verifier_events.tsv	386	c0351f1efd498c172bf093f202f6ced6c52bad7a8ab827e80a5eb05a56d382c4
output	out/cicada_p54_minimal_public_verifier_facts.tsv	1298	98986c68f42406fe92983acffe50ababe640890015c67e9e1f043521fa6d1821
output	out/cicada_p54_minimal_public_verifier_manifest.json	620	90b97bedc16aeea465e3fdab90e9962263f1ed78e343ffaaa1f65ad63e95821a
output	out/cicada_p54_minimal_public_verifier_report.txt	729	34e215bc0dfa3f1d081da77eb32a29d40bea157eb52ecedc394faacdb65025d2
output	out/cicada_p54_minimal_public_verifier_shuffle.tsv	608	0d6d90df23a0f36c531703b2f47d7e8f87a0373c667897013598dac8fa532831
output	out/cicada_p54_minimal_public_verifier_streams.tsv	734	822536091b003bc6ba217e562b0be5c40ce4ec4ea23fc5b0fc0f96fa51fdbd8f
output	out/cicada_p54_minimal_public_verifier_summary.tsv	252	e6e803bc8c64c4d6a48b0ec3954cd4dadfef7a25fa25165c29d265e75f3c3a7e
output	out/cicada_p54_minimal_public_verifier_trace.tsv	9188	f10d6dc727e53c2b6b367ba0e96bf80678939dd9897a6cfde37ef427b7207d25
