name	observed	expected	pass
p54_token_length	232	232	True
p55_token_length	76	76	True
EA_positions	48,52,54,73,135,151,211,228	48,52,54,73,135,151,211,228	True
A_output	DEATHEOWOXAEHUSOFDULALTHPEAARTROEORXTRIAUOJACSNGCAENGDPHACXAEIAHRBREADIAIJSGCDSCUDMESTXUTXDASSBEATHTHEXGAEIHINGIAJHFL	DEATHEOWOXAEHUSOFDULALTHPEAARTROEORXTRIAUOJACSNGCAENGDPHACXAEIAHRBREADIAIJSGCDSCUDMESTXUTXDASSBEATHTHEXGAEIHINGIAJHFL	True
B_output	IAPIAETHBTHFWEOWBLOYHPADSYPHNCJXLAENNGOEIAIBWJYIEAFEAJNUFWOECTHTHEREAXOEEODTHDEATHEOLDEATHETHYFHTH	IAPIAETHBTHFWEOWBLOYHPADSYPHNCJXLAENNGOEIAIBWJYIEAFEAJNUFWOECTHTHEREAXOEEODTHDEATHEOLDEATHETHYFHTH	True
A_payload_length	91	91	True
B_payload_length	57	57	True
A_payload	EOWOXAEHUSOFDULALTHPEAARTROEORXTRIAUOJACSNGCAENGDPHACXAEIAHRIAIJSGCDSCUDMESTXUTXDASSBEATHTHEXGAEIHINGIAJHFL	EOWOXAEHUSOFDULALTHPEAARTROEORXTRIAUOJACSNGCAENGDPHACXAEIAHRIAIJSGCDSCUDMESTXUTXDASSBEATHTHEXGAEIHINGIAJHFL	True
B_payload	IAPIAETHBTHFWEOWBLOYHPADSYPHNCJXLAENNGOEIAIBWJYIEAFEAJNUFWOECTHTHEREAXOEEO	IAPIAETHBTHFWEOWBLOYHPADSYPHNCJXLAENNGOEIAIBWJYIEAFEAJNUFWOECTHTHEREAXOEEO	True
terminal_pidx_source219	320	320	True
compact_score	100	100	True
coordinate_91_plus_229	320	320	True
coordinate_153_plus_167	320	320	True
coordinate_167_minus_91	76	76	True
coordinate_229_minus_153	76	76	True
